key,ammo,target,rangeU,actualFlight,estAtLaunch,gap,arrived,finalRangeM,retargeted,motor,minCompression,maxCompression,flownStep,peakSpeedKn,peakAltU,terminalSpeedKn,inGroup,groupLeader,maxGroupSize,gameVersion,gameBranch,modVersion,capturedAt
plan_hhq-9b__20260910-095107__t5704.0__16,plan_hhq-9b,[7001] Super Tanker,1372.074,80.22,71.899,8.32,true,235.171,false,1.008,1,20,,,,,,,,,,,
plan_hhq-9b__20260910-095400__t6496.5__18,plan_hhq-9b,[7001] Super Tanker,2510.643,125.215,122.999,2.216,true,165.785,false,0.986,1,20,,,,,,,,,,,
plan_yj-18a__20260910-095244__t5939.2__17,plan_yj-18a,[7001] Super Tanker,1376.587,229.555,230.005,-0.45,true,194.018,false,0.985,1,20,,,,,,,,,,,
plan_yj-18a__20260910-095455__t6901.4__20,plan_yj-18a,[7001] Super Tanker,2512.862,506.366,506.822,-0.456,true,167.27,false,0.991,1,20,,,,,,,,,,,
plan_yj-18a__20260910-095650__t7932.3__22,plan_yj-18a,[7001] Super Tanker,4519.68,995.195,995.204,-0.009,true,229.783,false,1.013,20,20,,,,,,,,,,,
plan_yj-20__20260910-095428__t6698.5__19,plan_yj-20,[7001] Super Tanker,2512.754,121.493,122.499,-1.006,true,239.262,false,1.016,1,20,,,,,,,,,,,
plan_yj-20__20260910-095615__t7593.2__21,plan_yj-20,[7001] Super Tanker,4527.68,163.785,159.301,4.484,true,290.88,false,0.982,1,20,,,,,,,,,,,
usn_rgm-109b__20260910-095859__t8986.5__23,usn_rgm-109b,[7001] MV Acadia,1389.774,330.978,332.811,-1.834,true,235.69,false,1.008,20,20,,,,,,,,,,,
usn_rgm-109b__20260910-100225__t10745.5__29,usn_rgm-109b,[7001] MV Acadia,2804.906,663.291,664.985,-1.694,true,181.926,false,1.004,20,20,,,,,,,,,,,
usn_rgm-109e5a__20260910-100137__t10332.9__28,usn_rgm-109e5a,[7001] MV Acadia,1361.523,322.341,321.31,1.03,true,43.297,false,1.016,20,20,,,,,,,,,,,
usn_rgm-109e5a__20260910-100319__t11453.7__30,usn_rgm-109e5a,[7001] MV Acadia,2782.658,656.5,654.687,1.813,true,20.23,false,1.012,5,20,,,,,,,,,,,
usn_rgm-84d__20260910-095935__t9394.7__24,usn_rgm-84d,[7001] MV Acadia,1386.169,336.29,336.111,0.179,true,190.607,false,1.019,20,20,,,,,,,,,,,
usn_rgm-84d__20260910-100445__t12456.7__31,usn_rgm-84d,[7001] MV Acadia,2115.349,510.568,510.322,0.246,true,169.383,false,0.983,1,20,,,,,,,,,,,
usn_rim-174b__20260910-100110__t10126.1__27,usn_rim-174b,[7001] MV Acadia,1363.651,92.508,86.899,5.609,true,197.961,false,1.002,10,20,,,,,,,,,,,
usn_rim-66b__20260910-100012__t9794.8__25,usn_rim-66b,[7001] MV Acadia,408.635,34.904,36.1,-1.196,true,110.171,false,1.015,20,20,,,,,,,,,,,
usn_rim-66p__20260910-100036__t9878.1__26,usn_rim-66p,[7001] MV Acadia,1364.081,115.835,111.599,4.236,true,145.972,false,1.015,10,20,,,,,,,,,,,
usn_rim-66p__20260910-100543__t13240.2__32,usn_rim-66p,[7001] MV Acadia,2088.954,166.835,157.2,9.635,true,29.168,false,1.003,10,20,,,,,,,,,,,
wp_ss-n-12__20260910-094148__t589.3__3,wp_ss-n-12,[7005] Yuniy Partizan-class,1293.423,134.213,133.699,0.514,true,129.241,false,1.006,10,20,,,,,,,,,,,
wp_ss-n-12__20260910-094420__t1845.5__8,wp_ss-n-12,[7005] Yuniy Partizan-class,2673.859,272.558,271.907,0.651,true,179.203,false,1.018,10,20,,,,,,,,,,,
wp_ss-n-12__20260910-094739__t3991.5__13,wp_ss-n-12,[7005] Yuniy Partizan-class,4216.26,381.761,382.214,-0.453,true,71.298,false,1.019,10,20,,,,,,,,,,,
wp_ss-n-12__20260910-101111__t498.7__21,wp_ss-n-12,[7005] Yuniy Partizan-class,1788.29,259.394,183.302,76.092,true,207.887,false,1.003,20,20,,,,,true,,,,,,
